institution,degree,duration,description
Tagore Engineering College, Bachelor of Engineering in Computer Science, 2021 - Present (Expected Graduation: 2025), Cumulative Grade: 8.51
St. Ann's Matriculation Higher Secondary School, Higher Secondary Certificate (HSC) in Computer Science, June 2020 – Mar 2021, Tamil Nadu State Board | Grade: 90.2%
St. Ann's Matriculation Higher Secondary School, Secondary School Leaving Certificate (SSLC), June 2018 – Mar 2019, Tamil Nadu State Board | Grade: 91.2%
